Origin,Destination,Total_Budget_INR,Duration_Days,Recommended_Transport,Transport_Cost_INR,Travel_Time_Hours,Hotel_Name,Hotel_Price_Per_Night_INR,Hotel_User_Rating,Top_Attractions,Total_Attraction_Ticket_Cost_INR
Bhubaneswar,Varanasi,11371,4,Train,2353,31,FabHotel Oasis,1100,3.9,Ancient Temples Complex | Art Gallery & Cultural Center | Botanical Gardens & Zoo | Hilltop Viewpoint Trek,408
Bhubaneswar,Visakhapatnam,68189,7,Flight,4943,1,Ginger Eco Suites,3787,4.0,City Palace & Lake Cruise | Hilltop Viewpoint Trek | Historic Fort & Museum,1083
Bhubaneswar,Ahmedabad,13978,6,Train,1141,20,Blue Diamond Lodge,1088,3.6,Ancient Temples Complex | Historic Fort & Museum | City Palace & Lake Cruise | Art Gallery & Cultural Center,124
Bhubaneswar,Agra,68510,7,Flight,9408,6,Comfort Inn,3425,4.3,Beachfront Promenade | Science Center & Planetarium | City Palace & Lake Cruise | Botanical Gardens & Zoo | Historic Fort & Museum | Local Market & Food Tour,1788
Bhubaneswar,Varanasi,27363,4,Flight,8404,5,Ginger Eco Suites,2437,4.3,Art Gallery & Cultural Center | Ancient Temples Complex | Hilltop Viewpoint Trek | Local Market & Food Tour | Science Center & Planetarium | Historic Fort & Museum,2136
Bhubaneswar,Chandigarh,17304,4,Flight,5251,3,Comfort Inn,1625,4.2,City Palace & Lake Cruise | Historic Fort & Museum | Hilltop Viewpoint Trek,1125
Bhubaneswar,Lucknow,19152,7,Train,1490,16,Zostel Premium,1368,3.7,Hilltop Viewpoint Trek | Local Market & Food Tour | City Palace & Lake Cruise | Historic Fort & Museum,340
Bhubaneswar,Guwahati,3238,2,Train,2017,29,Blue Diamond Lodge,934,3.5,Art Gallery & Cultural Center | Ancient Temples Complex | Beachfront Promenade | Historic Fort & Museum,352
Bhubaneswar,Jaipur,84486,5,Flight,9944,5,Radisson Elite,7972,4.3,Historic Fort & Museum | Hilltop Viewpoint Trek | City Palace & Lake Cruise,1344
Bhubaneswar,Kolkata,29752,2,Flight,4643,1,Taj Vista,5853,4.5,Hilltop Viewpoint Trek | Beachfront Promenade | Botanical Gardens & Zoo | Science Center & Planetarium,1916
Bhubaneswar,Jaipur,34475,5,Flight,10950,4,Comfort Inn,2337,4.0,Ancient Temples Complex | Hilltop Viewpoint Trek | Science Center & Planetarium | City Palace & Lake Cruise | Local Market & Food Tour,2265
Bhubaneswar,Madurai,16542,4,Flight,8600,3,Treebo Trend,1080,3.6,Beachfront Promenade | Botanical Gardens & Zoo | City Palace & Lake Cruise | Art Gallery & Cultural Center,1952
Bhubaneswar,Jammu,16228,6,Train,1327,25,FabHotel Oasis,1305,3.7,Botanical Gardens & Zoo | Science Center & Planetarium | Hilltop Viewpoint Trek | Art Gallery & Cultural Center | City Palace & Lake Cruise | Local Market & Food Tour,204
Bhubaneswar,Jammu,4561,2,Train,1618,24,FabHotel Oasis,944,3.7,Botanical Gardens & Zoo | Local Market & Food Tour | Ancient Temples Complex,255
Bhubaneswar,New Delhi,10064,4,Train,1942,30,Blue Diamond Lodge,932,3.7,Ancient Temples Complex | Art Gallery & Cultural Center | City Palace & Lake Cruise | Botanical Gardens & Zoo,332
Bhubaneswar,Amritsar,4631,2,Train,1732,27,Zostel Premium,614,3.9,Hilltop Viewpoint Trek | Ancient Temples Complex | Art Gallery & Cultural Center | Science Center & Planetarium,356
Bhubaneswar,Hyderabad,16399,6,Train,860,29,Blue Diamond Lodge,1404,3.9,City Palace & Lake Cruise | Local Market & Food Tour | Hilltop Viewpoint Trek | Science Center & Planetarium | Beachfront Promenade | Ancient Temples Complex,204
Bhubaneswar,Patna,9134,4,Train,2352,21,FabHotel Oasis,833,3.9,Science Center & Planetarium | Art Gallery & Cultural Center | City Palace & Lake Cruise,258
Bhubaneswar,Jaipur,10107,4,Train,2292,21,FabHotel Oasis,944,3.7,Science Center & Planetarium | Hilltop Viewpoint Trek | Botanical Gardens & Zoo | Ancient Temples Complex,200
Bhubaneswar,Visakhapatnam,7534,3,Train,411,10,Blue Diamond Lodge,984,3.7,Hilltop Viewpoint Trek | Beachfront Promenade | Art Gallery & Cultural Center | Historic Fort & Museum,176
Bhubaneswar,Vadodara,15579,4,Train,2159,26,Sayaji Stay,1551,4.1,Botanical Gardens & Zoo | Art Gallery & Cultural Center | Beachfront Promenade | Local Market & Food Tour | City Palace & Lake Cruise | Science Center & Planetarium,2532
Bhubaneswar,Chandigarh,44982,3,Train,2211,17,Radisson Elite,7809,4.6,Art Gallery & Cultural Center | Ancient Temples Complex | Botanical Gardens & Zoo | City Palace & Lake Cruise | Local Market & Food Tour | Science Center & Planetarium,1710
Bhubaneswar,Dehradun,7831,2,Flight,10347,5,FabHotel Oasis,771,3.7,Local Market & Food Tour | Art Gallery & Cultural Center | Historic Fort & Museum | Ancient Temples Complex,1024
Bhubaneswar,Jaipur,5014,3,Train,1738,22,Zostel Premium,861,3.8,Botanical Gardens & Zoo | Historic Fort & Museum | Ancient Temples Complex | Local Market & Food Tour | City Palace & Lake Cruise,470
Bhubaneswar,Vadodara,5677,4,Train,1748,22,Blue Diamond Lodge,861,3.6,Beachfront Promenade | City Palace & Lake Cruise | Ancient Temples Complex,348
Bhubaneswar,Vadodara,11112,4,Train,1063,19,Zostel Premium,1339,3.8,Local Market & Food Tour | Historic Fort & Museum | City Palace & Lake Cruise | Ancient Temples Complex,364
Bhubaneswar,Shimla,11333,4,Train,1627,25,Blue Diamond Lodge,1120,3.7,City Palace & Lake Cruise | Art Gallery & Cultural Center | Beachfront Promenade,69
Bhubaneswar,Bengaluru,7780,2,Flight,6477,3,Treebo Trend,814,3.5,Historic Fort & Museum | City Palace & Lake Cruise | Science Center & Planetarium,1413
Bhubaneswar,Patna,20262,5,Train,2033,24,Comfort Inn,1876,4.2,Botanical Gardens & Zoo | Beachfront Promenade | Historic Fort & Museum,1359
Bhubaneswar,Jaipur,11318,4,Train,1340,30,Blue Diamond Lodge,1078,4.0,City Palace & Lake Cruise | Art Gallery & Cultural Center | Local Market & Food Tour | Ancient Temples Complex | Historic Fort & Museum,195
Bhubaneswar,Raipur,26824,6,Flight,5422,2,Sayaji Stay,1587,4.4,Science Center & Planetarium | Beachfront Promenade | Botanical Gardens & Zoo,738
Bhubaneswar,Vadodara,16651,7,Train,1664,27,FabHotel Oasis,1144,3.9,City Palace & Lake Cruise | Botanical Gardens & Zoo | Historic Fort & Museum | Ancient Temples Complex | Science Center & Planetarium,580
Bhubaneswar,Kochi,27638,3,Flight,9785,6,Ginger Eco Suites,2477,4.3,Historic Fort & Museum | City Palace & Lake Cruise | Art Gallery & Cultural Center | Beachfront Promenade | Ancient Temples Complex | Hilltop Viewpoint Trek,1182
Bhubaneswar,Patna,10752,7,Train,1341,23,FabHotel Oasis,637,3.7,Botanical Gardens & Zoo | Art Gallery & Cultural Center | Hilltop Viewpoint Trek | Ancient Temples Complex | Historic Fort & Museum | Science Center & Planetarium,324
Bhubaneswar,Varanasi,12905,3,Flight,5623,3,FabHotel Oasis,1277,3.8,Botanical Gardens & Zoo | Science Center & Planetarium | Art Gallery & Cultural Center,1419
Bhubaneswar,Agra,9095,4,Train,1716,26,Zostel Premium,816,3.6,City Palace & Lake Cruise | Beachfront Promenade | Ancient Temples Complex | Historic Fort & Museum | Art Gallery & Cultural Center | Science Center & Planetarium,654
Bhubaneswar,New Delhi,8542,5,Train,1183,21,Treebo Trend,787,3.9,Botanical Gardens & Zoo | Historic Fort & Museum | Art Gallery & Cultural Center | City Palace & Lake Cruise | Science Center & Planetarium,190
Bhubaneswar,Lucknow,40313,6,Flight,10903,5,Sayaji Stay,2681,4.0,Art Gallery & Cultural Center | Historic Fort & Museum | Botanical Gardens & Zoo | City Palace & Lake Cruise | Hilltop Viewpoint Trek | Ancient Temples Complex,2352
Bhubaneswar,Agra,25525,6,Train,2584,23,Ginger Eco Suites,2081,4.0,Historic Fort & Museum | Beachfront Promenade | Hilltop Viewpoint Trek | Art Gallery & Cultural Center | Local Market & Food Tour,1420
Bhubaneswar,Lucknow,25205,6,Flight,8437,5,FabHotel Oasis,1464,3.6,Science Center & Planetarium | Hilltop Viewpoint Trek | City Palace & Lake Cruise | Ancient Temples Complex | Beachfront Promenade | Local Market & Food Tour,2358
Bhubaneswar,Chandigarh,3194,2,Train,1062,31,Treebo Trend,987,3.7,Science Center & Planetarium | Historic Fort & Museum | Art Gallery & Cultural Center | Local Market & Food Tour,468
Bhubaneswar,Jaipur,6870,4,Train,1626,17,Treebo Trend,977,3.5,Local Market & Food Tour | Historic Fort & Museum | Art Gallery & Cultural Center | Beachfront Promenade | Science Center & Planetarium | Ancient Temples Complex,546
Bhubaneswar,Kolkata,16507,4,Flight,3702,2,Comfort Inn,1595,4.2,City Palace & Lake Cruise | Science Center & Planetarium | Beachfront Promenade,570
Bhubaneswar,Vadodara,56649,10,Flight,8363,5,Sayaji Stay,2344,4.1,Hilltop Viewpoint Trek | Ancient Temples Complex | Local Market & Food Tour,885
Bhubaneswar,Chennai,31058,7,Flight,9813,5,Comfort Inn,1563,4.1,Ancient Temples Complex | Local Market & Food Tour | Beachfront Promenade | City Palace & Lake Cruise | Hilltop Viewpoint Trek | Botanical Gardens & Zoo,1776
Bhubaneswar,Jammu,12099,5,Train,1871,16,Zostel Premium,1057,3.8,Hilltop Viewpoint Trek | Art Gallery & Cultural Center | City Palace & Lake Cruise | Ancient Temples Complex | Local Market & Food Tour,475
Bhubaneswar,Pune,4087,3,Train,2223,21,Treebo Trend,654,3.7,Hilltop Viewpoint Trek | City Palace & Lake Cruise | Ancient Temples Complex | Science Center & Planetarium | Art Gallery & Cultural Center,340
Bhubaneswar,Kochi,32253,3,Flight,9983,3,Sayaji Stay,3677,4.0,Science Center & Planetarium | Art Gallery & Cultural Center | Historic Fort & Museum | Botanical Gardens & Zoo,1668
Bhubaneswar,Coimbatore,87688,6,Flight,6356,5,The Oberoi Splendor,6234,4.4,Historic Fort & Museum | Local Market & Food Tour | Art Gallery & Cultural Center | City Palace & Lake Cruise,1368
Bhubaneswar,Ranchi,10886,4,Train,571,8,FabHotel Oasis,1360,4.1,Science Center & Planetarium | City Palace & Lake Cruise | Local Market & Food Tour | Ancient Temples Complex | Historic Fort & Museum,480
Bhubaneswar,Pune,13419,3,Flight,8723,5,Blue Diamond Lodge,724,4.0,Botanical Gardens & Zoo | Ancient Temples Complex | Beachfront Promenade | Art Gallery & Cultural Center | Local Market & Food Tour | Historic Fort & Museum,2676
